Day/Month;Morning;Evening
1/1;Gen 1,2;Matt 1
1/2;Gen 3,4,5;Matt 2
1/3;Gen 6,7,8;Matt 3
1/4;Gen 9,10,11;Matt 4
1/5;Gen 12,13,14;Matt 5:1-26
1/6;Gen 15,16,17;Matt 5:27-48
1/7;Gen 18,19;Matt 6
1/8;Gen 20,21,22;Matt 7
1/9;Gen 23,24;Matt 8
1/10;Gen 25,26;Matt 9:1-17
1/11;Gen 27,28;Matt 9:18-38
1/12;Gen 29,30;Matt 10:1-23
1/13;Gen 31,32;Matt 10:24-42
1/14;Gen 33,34,35;Matt 11
1/15;Gen 36,37;Matt 12:1-21
1/16;Gen 38,39,40;Matt 12:22-50
1/17;Gen 41;Matt 13:1-32
1/18;Gen 42,43;Matt 13:33-58
1/19;Gen 44,45;Matt 14:1-21
1/20;Gen 46,47,48;Matt 14:22-36
1/21;Gen 49,50;Matt 15:1-20
1/22;Exod 1,2,3;Matt 15:21-39
1/23;Exod 4,5,6;Matt 16
1/24;Exod 7,8;Matt 17
1/25;Exod 9,10;Matt 18:1-20
1/26;Exod 11,12;Matt 18:21-35
1/27;Exod 13,14,15;Matt 19:1-15
1/28;Exod 16,17,18;Matt 19:16-30
1/29;Exod 19,20,21;Matt 20:1-16
1/30;Exod 22,23,24;Matt 20:17-34
1/31;Exod 25,26;Matt 21:1-22
2/1;Exod 27,28;Matt 21:23-46
2/2;Exod 29:30;Matt 22:1-22
2/3;Exod 31,32,33;Matt 22:23-46
2/4;Exod 34,35,36;Matt 23:1-22
2/5;Exod 37,38;Matt 23:23-39
2/6;Exod 39,40;Matt 24:1-22
2/7;Lev 1,2,3;Matt 24:23-51
2/8;Lev 4,5,6;Matt 25:1-30
2/9;Lev 7,8,9;Matt 25:31-46
2/10;Lev 10,11,12;Matt 26:1-19
2/11;Lev 13;Matt 26:20-54
2/12;Lev 14;Matt 26:55-75
2/13;Lev 15,16,17;Matt 27:1-31
2/14;Lev 18,19;Matt 27:32-66
2/15;Lev 20,21;Matt 28
2/16;Lev 22,23;Mark 1:1-22
2/17;Lev 24,25;Mark 1:23-45
2/18;Lev 26,27;Mark 2
2/19;Num 1,2;Mark 3:1-21
2/20;Num 3,4;Mark 3:22-35
2/21;Num 5,6;Mark 4:1-20
2/22;Num 7;Mark 4:21-41
2/23;Num 8,9,10;Mark 5:1-20
2/24;Num 11,12,13;Mark 5:21-43
2/25;Num 14,15;Mark 6:1-32
2/26;Num 16,17;Mark 6:33-56
2/27;Num 18,19,20;Mark 7:1-13
2/28;Num 21,22;Mark 7:14-37
2/29;Num 23,24,25;Mark 8:1-21
3/1;Num 26,27;Mark 8:22-38
3/2;Num 28,29;Mark 9:1-29
3/3;Num 30,31;Mark 9:30-50
3/4;Num 32,33;Mark 10:1-31
3/5;Num 34,35,36;Mark 10:32-52
3/6;Deut 1,2;Mark 11:1-19
3/7;Deut 3,4;Mark 11:20-33
3/8;Deut 5,6,7;Mark 12:1-27
3/9;Deut 8,9,10;Mark 12:28-44
3/10;Deut 11,12,13;Mark 13:1-13
3/11;Deut 14,15,16;Mark 13:14-37
3/12;Deut 17,18,19;Mark 14:1-25
3/13;Deut 20, 21, 22;Mark 14:26-50
3/14;Deut 23,24,25;Mark 14:51-72
3/15;Deut 26,27;Mark 15:1-26
3/16;Deut 28;Mark 15:27-47
3/17;Deut 29,30;Mark 16
3/18;Deut 31, 32;Luke 1:1-23
3/19;Deut 33,34;Luke 1:24-56
3/20;Josh 1,2,3;Luke 1:57-80
3/21;Josh 4,5,6;Luke 2:1-24
3/22;Josh 7,8;Luke 2:25-52
3/23;Josh 9,10;Luke 3
3/24;Josh 11,12,13;Luke 4:1-32
3/25;Josh 14,15;Luke 4:33-44
3/26;Josh 16,17,18;Luke 5:1-16
3/27;Josh 19,20;Luke 5:17-39
